Brand,Model,CPU,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Touch,Price
Dell,TUF,Intel Core i5,2.337993104,16,1000,14.3538838,2.665345935,No,32114.8208
Dell,Aspire,Intel Core i3,3.507133621,16,256,14.00652728,2.95266374,No,9929.514356
Lenovo,TUF,Intel Core i7,1.511580058,8,1000,15.2371591,2.778165202,No,31623.81423
Lenovo,Go,Intel Celeron,2.333747929,4,256,14.20574331,2.262773892,No,9264.933977
HP,Victus,Intel Core i5,2.495421734,4,1000,14.2444074,2.269748735,No,31549.79985
Asus,Pavilion,AMD Ryzen 5,2.843489007,8,512,13.57757566,2.579748246,No,16729.55088
Asus,IdeaPad,Intel Core i5,3.799639041,8,1000,12.85300654,2.151677564,No,31747.60461
Lenovo,15S,Intel Core i5,2.365864986,32,1000,13.89358617,3.879371059,No,32817.51658
Asus,Katana,Intel Core i7,2.367383005,32,256,11.71095415,2.86198015,No,10605.76646
Asus,VivoBook,Intel Core i3,3.34375312,32,1000,16.76908003,2.839237903,No,32810.02391
Dell,15S,Intel Core i3,2.630544852,8,512,15.28646458,2.995994883,No,17059.60928
Lenovo,Vector,Intel Core i7,2.061512057,8,256,16.7148027,3.988388823,No,8973.589686
Acer,VivoBook,AMD Ryzen 7,2.63109879,16,256,12.36036429,4.611901644,No,9912.491625
Lenovo,ROG,AMD Ryzen 7,1.852142551,32,1000,16.27604612,4.277260798,No,32801.64628
Acer,Chromebook,Intel Celeron,1.940967466,32,256,15.85273991,4.182587691,No,10174.19521
Dell,15S,Intel Core i7,2.745919432,32,256,15.06291447,3.453173557,No,10325.36473
HP,15S,AMD Ryzen 5,2.547313624,4,256,14.75017512,4.081416671,No,9221.138435
Asus,Omen,Intel Core i7,3.787114753,16,256,12.89929799,3.658287104,No,10233.78582
Dell,VivoBook,Intel Core i5,2.405984748,32,256,15.89846471,2.648751585,No,10333.32156
Asus,ZenBook,Intel Core i7,2.951470876,32,256,14.00909277,2.625765103,No,10781.5392
HP,Victus,Intel Core i7,3.08066072,32,512,11.42534946,2.889176021,No,18167.29983
HP,15S,Intel Core i7,1.532736141,4,1000,12.87717897,4.732408013,No,31381.40555
Dell,15S,AMD Ryzen 5,3.15884343,4,512,16.61178259,3.642244521,No,17124.22007
HP,IdeaPad,Intel Core i5,1.945089917,8,256,16.10408156,4.201716131,No,9280.142422
Acer,Creator,Intel Core i7,3.902675794,16,256,16.89143419,3.039676279,No,9701.088818
HP,IdeaPad,AMD Ryzen 7,1.871656819,8,1000,14.7679603,3.223147312,No,31673.69623
Asus,15S,Intel Core i3,2.536560309,16,512,12.48506044,2.376696736,No,17493.65016
Asus,MacBook Air,Apple M1,1.71337417,4,1000,11.9768903,2.513884873,No,31339.15974
Asus,ThinkBook,Intel Core i5,3.99218563,32,512,12.12148664,4.482069664,No,18495.18097
Asus,TUF,AMD Ryzen 7,2.755487526,8,256,11.11877395,3.754515895,No,9140.170448
Acer,Katana,Intel Core i7,2.988462543,32,1000,13.34409267,3.012597398,No,33151.04094
Lenovo,M515UA,AMD Ryzen 5,1.667691193,8,1000,12.14856608,4.408553627,No,31612.05197
Dell,Victus,AMD Ryzen 7,3.374901176,4,256,13.46993276,2.739559717,No,9081.898738
Asus,250,Intel Celeron,2.024763983,4,1000,16.60996659,4.928098096,No,31650.73015
HP,Omen,AMD Ryzen 7,3.745135724,4,512,13.58324126,3.034452823,No,17076.68133
Asus,Modern,AMD Ryzen 5,2.012849101,8,512,16.26790698,3.011932862,No,16983.63602
HP,255,AMD Athlon,1.976719302,16,512,14.6330286,2.935735717,No,17283.37601
HP,VivoBook,Intel Core i7,1.59137417,8,512,12.48278933,2.366334548,No,16788.6686
Asus,V15,Intel Core i5,2.680167363,16,256,13.13512856,2.333411442,No,10029.58177
Acer,VivoBook,Intel Core i7,2.912102833,8,1000,11.50351721,3.944315104,No,31879.66276
HP,Thin,Intel Core i5,1.664271599,8,512,13.00077556,4.625354134,No,17008.98571
HP,Modern,Intel Core i7,3.438819042,4,256,15.06524567,4.371561531,No,9362.265977
Asus,15S,AMD Ryzen 7,2.633222087,32,1000,11.43266656,2.423322782,No,33008.89887
HP,Vector,Intel Core i7,2.810975673,32,1000,12.23240845,3.636746365,No,32703.61323
HP,VivoBook,Intel Core i7,2.601906867,16,256,13.28864625,2.316774638,No,9859.675148
Asus,Creator,Intel Core i7,2.501907652,32,256,16.89229722,2.135883931,No,10566.17103
Asus,MacBook Pro,Apple M2,2.899100828,8,512,15.70917094,3.969157578,No,16702.35101
Dell,TUF,AMD Ryzen 9,1.888100615,8,1000,15.40092048,3.605457001,No,31232.36363
Acer,Katana,Intel Core i7,1.954820326,4,1000,11.69714574,2.246071056,No,31169.85051
Acer,Victus,Intel Core i7,3.654464053,4,256,15.68597536,2.104817739,No,9486.594937
HP,Modern,Intel Core i7,3.865288655,32,1000,15.71161287,4.96926924,No,33005.18134
Acer,Modern,Intel Core i3,2.433273291,16,512,14.60661617,2.090063996,No,17299.66299
HP,IdeaPad,AMD Ryzen 3,2.176861683,32,1000,16.94217069,3.333584759,No,32993.53209
Dell,Prestige,Intel Core i5,3.109998858,32,256,12.95152344,3.513857074,No,10514.88925
Asus,IdeaPad,Intel Core i7,2.521835428,32,256,16.64763469,2.351840443,No,10859.96282
Asus,ThinkBook,Intel Core i5,1.563465889,32,512,16.48838669,2.507185335,No,18310.41381
Asus,Prestige,Intel Core i7,1.890381493,8,512,11.06888396,3.055415019,No,16833.27609
Acer,Pavilion,Intel Core i7,3.289930572,16,1000,13.70069916,4.285027629,No,32339.84211
Dell,Victus,Intel Core i5,3.147309855,8,1000,16.8626254,3.521247272,No,31954.9501
Acer,IdeaPad,Intel Core i5,1.567739981,16,256,11.61872817,3.913705624,No,9437.652448
Acer,ThinkBook,Intel Core i5,2.054930405,4,512,14.28670817,4.955523665,No,16879.49194
Dell,Victus,Intel Core i5,2.077686991,32,512,16.87374504,4.304016306,No,18371.75255
Dell,IdeaPad,AMD Ryzen 5,3.179731859,8,512,14.33297254,3.303084494,No,16959.08793
Dell,15S,Intel Core i7,1.549276344,16,1000,12.13889182,3.339325765,No,31849.94958
Dell,Stealth,Intel Core i7,1.760271455,4,512,14.49309938,3.856316231,No,16691.85388
Asus,Aspire,Intel Core i7,3.499790213,4,256,12.22664344,3.996095625,No,9454.453849
Lenovo,IdeaPad,AMD Ryzen 3,1.946361655,32,256,14.11822558,3.502132778,No,10327.84384
Lenovo,IdeaPad,AMD Ryzen 7,3.13186527,16,1000,11.44425331,3.934583668,No,31996.36022
Dell,Pulse,Intel Core i9,2.095456953,8,1000,14.63289602,2.070597483,No,31624.84327
Lenovo,IdeaPad,AMD 3020e,1.748603482,32,512,14.10073963,3.288868592,No,18295.11865
Lenovo,IdeaPad,AMD Ryzen 5,2.107930477,8,1000,15.44096821,2.836814228,No,31362.16189
Dell,IdeaPad,Intel Core i5,3.30566733,4,256,14.78420283,2.387523336,No,9107.981058
Lenovo,IdeaPad,AMD 3020e,3.63924117,8,512,14.29763761,2.298639538,No,17146.71361
Acer,Modern,Intel Core i5,3.575549661,8,256,15.1386731,3.809576497,No,9491.272215
HP,ZenBook,Intel Core i7,2.492958824,32,512,11.86365148,3.570801641,No,17807.04022
HP,TUF,Intel Core i5,3.170212841,8,1000,14.57215797,2.760752351,No,32097.51726
Dell,VivoBook,Intel Core i5,2.012460739,32,512,12.03266362,3.412850176,No,18042.9556
Asus,Blade,Intel Core i7,2.232869326,4,512,16.55313325,3.476696946,No,16746.84866
Dell,Akoya,AMD Ryzen 7,3.740839546,32,256,11.41000463,2.585026941,No,11055.04524
Asus,ExpertBook,Intel Core i5,1.532504809,32,256,13.5822485,3.956279186,No,10462.14184
HP,IdeaPad,AMD Ryzen 3,1.713771327,16,512,15.17478487,4.342758069,No,17155.73801
Dell,15S,AMD Ryzen 3,2.019715638,8,1000,13.74813327,4.374390623,No,31568.08346
Acer,VivoBook,Intel Core i7,1.56633051,4,1000,11.55257152,3.807409492,No,31197.89601
Lenovo,VivoBook,AMD Ryzen 5,1.953588588,32,256,14.3202741,3.534915748,No,10711.44421
Asus,IdeaPad,AMD Ryzen 5,2.957603902,4,1000,14.84979145,2.183021429,No,31533.20155
Lenovo,IdeaPad,Intel Core i7,2.553561376,16,256,15.22275387,2.863493897,No,9478.120505
Lenovo,IdeaPad,AMD Ryzen 7,3.731679278,8,1000,13.23955889,2.27981434,No,31512.88407
Dell,IdeaPad,AMD Ryzen 5,3.543608904,32,512,14.38195983,4.891469483,No,18702.47855
Lenovo,IdeaPad,AMD Ryzen 3,2.354543379,8,256,13.70411885,2.405240439,No,9143.215709
Acer,VivoBook,Intel Core i7,2.148558584,16,256,15.03233623,2.45532623,No,9819.84751
Lenovo,VivoBook,Intel Core i5,2.44923102,16,512,14.5013418,4.668729855,No,17407.53843
Dell,ZenBook,AMD Ryzen 7,2.975737356,4,256,14.15453732,4.83178485,No,9126.589412
Acer,Aspire,Intel Core i5,2.170159102,32,1000,12.4971462,4.297487118,No,32689.03039
HP,IdeaPad,Intel Core i7,3.06037227,4,1000,11.01211111,2.016214771,No,31828.8301
Lenovo,VivoBook,Intel Core i5,2.52352913,16,256,12.04449005,2.004038813,No,9415.942553
Dell,IdeaPad,AMD Ryzen 5,2.880117952,8,1000,11.70239625,3.134302309,No,31601.43745
HP,IdeaPad,Intel Core i5,2.590316323,4,256,13.69450847,2.43018611,No,9328.964725
HP,255,AMD Athlon,2.236164399,4,512,14.6735489,2.055158426,No,16523.52327
Asus,IdeaPad,Intel Core i3,3.871133267,8,256,12.27851005,3.392200068,No,9829.331415
Acer,255,AMD Ryzen 5,3.409014485,4,512,16.63434258,4.829185692,No,17204.64783
Lenovo,IdeaPad,AMD Ryzen 5,1.850282939,8,1000,11.04009278,2.971458725,No,31515.50299
Dell,Chromebook,Intel Celeron,3.67116994,32,512,15.63380609,3.983422035,No,18366.44451
Asus,Legion,AMD Ryzen 7,2.718577996,8,1000,14.75122862,3.956706059,No,31416.85988
Acer,IdeaPad,Intel Core i5,3.736380567,32,256,13.24132881,2.753240311,No,10905.97947
Asus,IdeaPad,AMD Ryzen 7,3.49963814,8,1000,11.30293367,3.951275746,No,32336.20253
Acer,ThinkBook,Intel Core i5,2.563033761,16,256,14.76491943,2.637001923,No,9790.713629
Acer,Pulse,Intel Core i7,1.556173271,16,256,13.31368108,2.366022241,No,9168.638971
Lenovo,MacBook Air,Apple M2,2.171693398,32,512,16.61760284,4.104149857,No,18277.15254
Acer,Aspire,Intel Core i5,2.854085537,32,512,14.25194045,2.340322451,No,18464.50529
Asus,Raider,Intel Core i9,3.08369555,16,512,16.63790907,4.990727656,No,17376.01953
Acer,15S,Intel Core i7,2.144719214,32,512,12.32290216,2.550357203,No,17980.79593
Lenovo,Legion,Intel Core i7,1.848390185,8,1000,15.35435546,3.782425588,No,31389.46524
Lenovo,ProBook,Intel Core i5,3.587325592,8,1000,14.70349413,3.234123714,No,31772.92099
Asus,VivoBook,Intel Core i5,3.961005452,16,1000,15.43644938,2.379159267,No,32342.70586
HP,IdeaPad,Intel Core i5,2.814225456,4,256,12.28800718,2.083531723,No,8995.589696
HP,Modern,Intel Core i5,1.929198215,8,1000,14.9899671,3.868196847,No,31299.78947
Acer,Modern,Intel Core i7,2.180768316,32,1000,13.98824236,4.420272691,No,32806.59086
Dell,IdeaPad,Intel Core i7,1.545976691,4,1000,15.45694985,4.526046985,No,31236.54146
Acer,Pulse,Intel Core i9,3.785747016,4,512,12.96226786,3.448140419,No,16954.665
Asus,Stealth,Intel Core i7,1.794377707,8,1000,16.34034215,4.332366402,No,31558.99666
Asus,Chromebook,Intel Celeron,2.941291189,8,256,11.50580789,4.0185414,Yes,9054.15384
Asus,V15,Intel Core i5,2.185138052,4,512,15.84313591,4.172763582,No,16824.80328
Asus,Chromebook,Intel Celeron,2.885445006,4,256,16.16791775,3.477797016,No,9162.531746
Asus,Vector,Intel Core i9,3.128550971,16,1000,15.90351387,3.900235221,No,32252.67601
Lenovo,15S,Intel Core i5,3.574354509,32,512,14.07635837,4.416577741,No,18492.16211
HP,Aspire,Intel Core i5,2.016053179,16,256,13.63030988,3.193652527,No,9850.110564
Asus,ExpertBook,Intel Core i3,1.527489572,8,1000,16.97757372,4.417936703,No,31521.46091
Dell,IdeaPad,AMD Ryzen 5,1.842214075,16,256,12.37503171,3.776050528,No,9771.52671
Dell,ZenBook,AMD Ryzen 5,3.750046605,16,256,14.2812558,2.497703073,No,9926.274778
Dell,IdeaPad,Intel Core i5,3.684725194,16,256,15.02405315,2.074052472,No,9941.850074
Dell,Legion,Intel Core i5,2.993532755,16,1000,15.20520582,3.088260801,No,32153.74242
Lenovo,IdeaPad,AMD Ryzen 5,3.001292151,32,1000,12.22414799,3.640088985,Yes,33063.16548
Dell,MacBook Air,Apple M1,3.162591686,32,256,14.92396455,4.519461057,No,10791.99483
Asus,IdeaPad,AMD Ryzen 5,1.938428197,4,512,15.9102174,2.38245704,No,16769.07979
Acer,Prestige,Intel Core i7,3.786029865,8,512,11.30011146,4.400619043,No,16953.65494
Dell,F515,Intel Core i7,2.546926312,16,1000,16.46912776,4.589027138,No,32215.48938
Lenovo,G5,Intel Core i5,2.457846321,4,1000,11.17702433,2.452062461,No,31218.3082
Lenovo,Chromebook,AMD Ryzen 3,2.797294263,4,1000,13.13582619,4.554782958,No,31293.44807
Dell,Vostro,Intel Core i3,1.617414917,4,1000,11.09487918,4.974360704,No,30967.93994
Acer,MacBook Air,Apple M2,1.915708422,32,1000,11.46287101,4.180516493,No,32653.9602
Dell,TUF,AMD Ryzen 7,3.345084041,16,512,16.46700971,4.354309045,No,17857.15877
Lenovo,Thin,Intel Core i5,1.70699667,16,1000,13.12916498,4.983245803,No,31661.07807
HP,IdeaPad,Intel Core i5,3.007880274,8,256,13.54862918,3.816443752,No,9750.099392
Asus,Legion,Intel Core i7,2.113372774,16,256,12.29206629,2.923659146,No,9801.241334
Lenovo,15S,AMD Ryzen 3,2.473239035,16,512,14.58257462,4.512592502,No,17108.25296
Dell,255,AMD 3020e,2.221734342,4,256,14.56881929,3.843457333,No,9000.733644
Asus,IdeaPad,AMD Ryzen 5,2.389181791,8,512,13.23320235,3.743586271,No,16757.01449
Dell,Akoya,AMD Ryzen 5,3.297614763,16,512,12.99820923,2.760906667,No,17684.86916
Dell,VivoBook,Intel Core i3,2.242804289,32,256,16.30978585,4.269002809,No,10314.43388
HP,Modern,Intel Core i7,2.916011601,16,1000,13.29970544,2.245001828,No,31802.52252
Asus,ROG,AMD Ryzen 7,2.690126005,4,256,13.96100595,4.772861212,No,9084.371553
Asus,Modern,Intel Core i5,3.159177913,32,256,12.69982857,2.977470382,No,10869.93627
HP,15S,AMD Ryzen 7,3.842074348,4,512,15.72061702,2.383323958,No,17080.49073
Lenovo,IdeaPad,Qualcomm Snapdragon 7,3.331430243,16,256,13.38468894,3.327099599,Yes,9960.397604
Dell,Nitro,AMD Ryzen 5,2.037350946,32,512,14.08166628,2.127409728,No,18215.27564
Acer,V15,Intel Core i3,1.577957838,8,1000,12.52014302,4.053878583,No,31123.00052
Dell,Prestige,Intel Core i7,2.155660111,8,1000,16.92595755,4.708116531,No,31442.69518
Dell,15S,AMD 3020e,2.987694827,32,1000,12.74897445,4.511789021,No,32908.6934
Lenovo,IdeaPad,Intel Core i3,1.628564534,32,256,15.62445519,2.38210842,No,10282.90993
Dell,Gram,Intel Evo Core i7,2.740915618,4,512,13.5649739,2.378813411,No,17196.58538
HP,Prestige,Intel Core i7,2.992107122,32,1000,12.23730443,4.440303447,No,32653.1
HP,E410,Intel Celeron,2.335609727,4,512,15.79831258,4.772762824,No,16613.50855
Asus,Omen,Intel Core i7,3.427280509,16,512,13.00164073,3.38200949,No,17629.77767
Acer,Akoya,Intel Core i5,1.766495633,4,1000,16.19116008,3.496913351,No,31216.57453
Dell,V15,AMD Ryzen 3,1.687844454,32,1000,16.49154311,2.954786124,No,32159.48537
Dell,ZenBook,AMD Ryzen 7,3.320471891,32,512,16.15894301,4.682795355,No,18787.38153
Lenovo,Flex Advance,Intel Core i5,2.738728291,16,1000,11.21004749,3.934708716,No,31817.73844
HP,Aspire,Intel Core i3,3.221005991,32,512,15.72424007,2.864754732,No,18502.217
Acer,Chromebook,Intel Core i3,2.587068347,32,512,13.4680368,2.896348613,Yes,17967.13268
Asus,Stealth,Intel Core i7,2.116005083,8,1000,16.24233752,4.673600219,No,31428.70478
HP,VivoBook,Intel Core i5,3.547755794,8,256,14.82772558,2.040902072,No,9241.110049
Asus,Victus,AMD Ryzen 7,3.498539697,16,1000,16.0018588,2.968179718,No,32141.82464
Lenovo,Pulse,Intel Core i7,3.236741177,4,256,13.99659062,3.663070044,No,9141.792984
Lenovo,ExpertBook,Intel Core i7,2.180362843,8,512,14.21015303,2.444652386,No,16929.31597
Dell,Akoya,AMD Ryzen 7,2.975576667,4,512,11.86632579,2.276296263,No,16795.16512
Acer,VivoBook,Intel Core i5,2.402434742,32,256,15.70392415,4.445828993,No,10241.80318
Asus,Blade,Intel Core i7,1.728955183,8,512,13.51633767,4.683213166,No,16724.50569
HP,MacBook Air,Apple M1,3.793283939,16,256,14.00048071,4.470819262,No,10263.36034
Lenovo,Chromebook,Intel Celeron,1.842046577,16,256,15.71058628,4.696363669,No,9881.335514
Dell,VivoBook,Intel Core i3,3.875593385,16,512,14.5930724,3.659335913,No,17781.52417
Dell,Omen,Intel Core i7,2.615014432,8,256,12.20659236,4.436774363,No,9435.386839
Asus,IdeaPad,AMD Ryzen 7,1.962832322,4,1000,14.54139595,3.152127915,No,31764.03766
Lenovo,ZenBook,AMD Ryzen 5,2.854752368,32,1000,13.44579715,3.998803584,No,33014.12791
Acer,Bravo,AMD Ryzen 5,3.68236459,4,512,13.81715325,4.966506594,No,17151.98889
Lenovo,TUF,Intel Core i7,3.330562216,4,512,11.16986765,2.677183172,No,16609.82136
Asus,Stealth,Intel Core i7,3.51640287,32,256,12.2601761,3.169699239,No,10474.26099
Asus,Katana,Intel Core i7,3.146958417,32,256,12.68622849,3.440142132,No,10622.17677
Lenovo,Modern,Intel Core i7,3.230691411,8,256,15.27776005,2.414046461,No,9346.064574
Asus,Chromebook,Intel Core i5,3.622989129,8,256,11.06895484,2.243115831,Yes,9303.954707
Lenovo,ThinkBook,Intel Core i5,2.124170022,8,1000,13.45266357,4.489168599,No,31372.50378
HP,ZenBook,AMD Ryzen 7,2.723562409,8,1000,16.54416122,4.930383118,No,31441.57775
Lenovo,Aero,Intel Core i7,2.053023605,8,512,11.6712837,3.214175191,No,16713.61175
Lenovo,MacBook Air,Apple M2,3.96917002,32,256,14.09854633,2.262949509,No,10901.06255
Asus,IdeaPad,AMD Ryzen 3,3.860148349,4,256,15.71913429,2.197435282,No,9803.702788
Asus,Nitro,Intel Core i7,1.598567028,8,512,16.65518785,4.673954619,No,17025.47405
Dell,Prestige,Intel Core i7,3.263937931,8,256,15.48065984,3.391442749,No,9635.717453
Dell,ZenBook,Intel Evo Core i7,3.813120794,4,256,15.32339329,2.96008195,No,9094.784528
HP,Bravo,AMD Ryzen 7,1.951438363,8,256,15.95892854,3.429383814,No,9279.031746
Dell,TUF,AMD Ryzen 7,2.919863076,4,256,13.67720733,2.954912284,No,9194.575658
Lenovo,Chromebook,Intel Celeron,3.788720744,4,256,15.8350672,3.467107326,No,9477.922639
Asus,Omen,Intel Core i7,1.584864946,32,512,11.04778643,4.578669191,No,17880.00453
Dell,Yoga,Intel Evo Core i5,3.243550668,16,256,16.54736633,3.776904113,No,10254.30377
Dell,ExpertBook,Intel Core i5,2.243372518,32,512,13.65983906,4.083961318,No,18151.58677
HP,Pulse,Intel Core i9,3.810990488,16,256,14.32028113,3.094012029,No,10027.70827
HP,Aspire,Intel Core i5,3.927645613,16,1000,12.52929349,4.215517636,No,31901.47177
Lenovo,V15,Intel Core i7,3.860666223,16,1000,15.455185,3.999851255,No,32319.9033
Asus,ThinkBook,Intel Core i5,2.685535542,8,1000,11.45981484,2.358685993,Yes,31872.56842
HP,VivoBook,Intel Core i3,3.655106627,32,1000,16.23581482,3.717928559,No,33229.67346
Dell,ExpertBook,Intel Core i5,3.611373496,16,512,15.96870097,2.770230489,No,17242.82823
Asus,VivoBook,Intel Core i5,2.297751183,4,512,12.2963607,4.412287009,Yes,16631.41957
Asus,IdeaPad,Intel Core i7,3.572288685,8,256,15.85594639,3.277813125,No,9925.178427
Dell,Stealth,Intel Core i7,1.592519087,32,1000,15.7181464,4.984052496,No,32652.89808
HP,Stealth,Intel Core i7,2.990674696,16,512,14.79329959,2.277501314,No,17595.70911
Dell,Galaxy Book,Intel Core i7,2.075022093,4,256,13.24112106,4.341043588,No,9340.218261
Asus,ExpertBook,Intel Core i7,1.801417214,32,256,12.62899253,4.021105201,No,10321.72941
Acer,Modern,Intel Core i5,1.692383004,32,512,12.39070154,4.302496492,No,18161.47164
Acer,V15,Intel Core i3,3.24072194,8,1000,12.91165378,2.922589386,No,31859.43075
Lenovo,MacBook Pro,Apple M2,2.349687409,32,256,16.42135066,3.476163468,No,10668.63263
Dell,TUF,Intel Core i7,3.311916929,8,1000,11.46584466,4.389525559,No,31823.64815
Dell,Nitro,AMD Ryzen 7,1.663390852,16,1000,15.97322766,2.697623995,No,31815.64051
Lenovo,Blade,Intel Core i7,2.288225845,8,1000,13.09334045,2.67809959,No,31503.17147
Lenovo,V15,Intel Core i3,2.848728231,4,256,14.12959638,3.65315286,No,9024.890809
Lenovo,250,Intel Core i5,3.476807912,8,1000,15.7669138,3.570690739,No,31547.05113
Asus,V15,AMD Ryzen 5,2.296881257,4,256,16.30625928,2.846787411,No,9385.939545
Dell,TUF,Intel Core i7,3.064728441,8,1000,13.06868852,2.894226952,No,31747.39378
Asus,V15,Intel Core i3,3.714944371,32,256,13.77106089,2.83353549,No,11008.90677
Lenovo,Nitro,AMD Ryzen 7,3.03965797,16,1000,13.48709639,4.314536186,No,32447.60269
Dell,TUF,Intel Core i7,2.082398687,4,512,11.0795062,3.955702597,No,16669.19633
Asus,MacBook Air,Apple M2,1.561001954,8,1000,12.77565733,4.49725155,No,31160.0432
Asus,Chromebook,Intel Celeron,3.675247185,8,1000,13.7551354,4.926419085,No,31821.65032
Lenovo,Creator,Intel Core i7,1.553173527,8,256,13.46656165,3.422492889,Yes,8991.512288
Dell,Erazer,Intel Core i5,3.686754182,32,256,15.33157537,2.200081644,No,10405.95144
Lenovo,Gram,Intel Evo Core i7,2.822342835,32,1000,13.3088217,2.144276931,No,32808.85645
Dell,Pulse,Intel Core i7,3.847669246,4,512,13.93625869,2.886995118,No,17065.08163
Acer,255,AMD Ryzen 3,3.496958089,4,512,13.57765155,4.797633768,No,16854.30343
HP,V15,Intel Core i5,3.994835276,32,256,15.44375689,3.569639165,No,10697.83678
HP,IdeaPad,AMD Ryzen 5,2.376779539,4,512,16.17783439,2.815359548,No,16575.25184
HP,ROG,Intel Core i7,3.417970722,16,1000,14.19133447,3.197500384,No,32274.63026
Lenovo,VivoBook,Intel Core i7,2.504827284,16,256,15.73659317,3.795785322,No,10131.59332
Acer,Summit,Intel Evo Core i7,2.699689051,32,1000,12.78072009,3.958848974,Yes,33111.6885
Dell,E410,Intel Celeron,3.068763658,4,256,14.24821766,2.461758529,No,9384.824877
Asus,Pavilion,Intel Core i5,3.684192785,8,256,13.07137972,4.93109503,No,9664.037025
Dell,Ultra,Intel Core i7,3.960208673,16,256,13.48520555,3.634316681,No,9978.87405
Asus,IdeaPad,Intel Core i5,3.420683535,32,256,15.39448319,2.407064953,No,10387.05309
Dell,V15,Intel Core i5,2.544416955,4,512,16.28997489,4.68090576,No,16773.98749
Acer,V15,AMD Ryzen 5,2.553392506,32,1000,11.72897235,2.223915293,No,32629.16326
Asus,Creator,Intel Core i7,3.343955754,8,1000,14.80783554,4.7232063,Yes,31848.65515
Lenovo,Galaxy Book,Intel Core i5,2.096942864,16,1000,14.49286285,4.989696969,No,32205.9918
Dell,Vostro,Intel Core i5,1.776185283,32,256,11.71049024,4.101295397,No,10723.11583
Dell,ExpertBook,Intel Core i5,2.386555394,32,512,12.27136598,4.311341663,Yes,18152.54919
Asus,TUF,AMD Ryzen 9,2.218097479,32,1000,12.86601497,3.011908509,No,32437.38944
Lenovo,Victus,Intel Core i7,2.240770301,8,512,12.00158642,4.824730558,No,16912.47369
Lenovo,TUF,AMD Ryzen 7,2.084019378,32,256,12.4623769,3.589141898,No,10428.13123
Acer,MacBook Air,Apple M2,1.605232974,8,1000,12.60560479,4.19716534,No,31566.95581
Lenovo,ThinkPad,AMD Ryzen 7,1.544684837,8,512,13.014043,4.772323148,No,16777.65549
Lenovo,Prestige,Intel Evo Core i7,3.969305974,8,256,15.49634272,4.925539928,No,9647.836305
Lenovo,IdeaPad,Intel Celeron,2.569432834,16,512,14.43147322,4.49961307,No,17291.10775
HP,ProBook,Intel Core i5,2.460816618,16,1000,16.91748003,2.909052521,No,32039.042
Acer,Vostro,Intel Core i7,3.199118207,32,1000,13.48841496,4.89964255,No,33063.242
Dell,ROG,Intel Core i9,2.04563472,32,256,15.52319044,3.884358594,No,10059.05042
Asus,Modern,AMD Ryzen 7,3.87490296,16,256,16.22881053,4.791927429,No,9968.179815
Dell,Omen,AMD Ryzen 7,3.465862536,4,256,15.07387096,4.028315077,No,9471.946769
Acer,Chromebook,Intel Pentium,1.723527506,16,512,13.47118844,2.921716886,No,17573.05789
